,Unnamed: 0,Name,RA,DEC,Redshift,Distance_Mpc,HIPASS,Stellar_mass,err_stellar_mass,SFR,errSFR
0,0,ESO 215-31 ,167.64561,-49.10338,0.009081,38.9,J1110-49,,,,
1,1,ESO 269-57 ,197.51829,-46.43608,0.010358,44.4,J1310-46,11.041465940229239,1.4185606174718313,0.43698135872778443,0.07344695052992167
2,2,NGC 1326 ,50.98494,-36.46378,0.004533,19.4,J0323-36,10.725303459860456,1.3780389061665455,0.13244397261063032,0.06641225469158256
3,3,NGC 3358 ,160.8894,-36.41098,0.009967,42.7,,,,,
4,4,IC 5267 ,344.30552,-43.39572,0.005711,24.5,J2257-43,11.051512168729069,1.4197452764444736,0.19317523943630707,0.06903453602610127
5,5,NGC 1302 ,49.96136,-26.05987,0.005682,24.3,J0319-26,10.858232547196625,1.3949485036035494,-0.19447800586482372,0.059796124266374436
6,6,NGC 1398 ,54.71556,-26.33643,0.004654999999999999,19.9,J0338-26,11.215366152819417,1.440701443872358,0.3230760143106008,0.07072831426554109
7,7,NGC 2217 ,95.4146,-27.233390000000004,0.0054,23.1,J0621-27b,11.137663959784291,1.4306088420682537,0.15576720089711651,0.0681507623597381
8,8,NGC 7020 ,317.8341700000001,-64.02528000000001,0.010677,45.7,,,,,
9,9,NGC 1291 ,49.32306,-41.10764,0.002797,12.0,J0317-41,11.248502492095252,1.4447636944932962,-0.04680088389740456,0.06512866897981193
10,10,NGC1371,53.7555879,-24.933232800000006,0.00488,20.9,J0335-24,10.783712572222111,1.385224889225783,-0.27079294678964083,0.05900830441831721
11,11,ESO179-IG013,251.833542,-57.440167,0.002811,12.0,,,,,
12,12,NGC1079,40.93475,-29.003361,0.004841,20.7,J0243-29,10.492320690913841,1.3479080973204627,-0.4556369478197768,0.05818150117344726
13,13,NGC5101,200.442667,-27.430528,0.006236,26.7,J1321-27,11.252362522729152,1.4453723676439447,0.2419078016410976,0.06963691177324119
14,14,IC5240,340.46825,-44.767167,0.005886,25.2,J2241-44 ,,,,
15,15,ESO 138-29 ,262.28923,-62.44519,0.015547,66.6,,,,,
16,16,NGC 2369 ,109.1602,-62.3444,0.010807,46.3,J0716-62,10.605481982035906,1.3715753865455458,0.9106790294416951,0.0852000690221616
17,17,NGC 1350 ,52.7848,-33.62895,0.006361,27.2,J0330-33,11.174097808068401,1.4354374453968632,0.20892771135704152,0.06838116489323184
18,18,NGC 7098 ,326.06885,-75.1123,0.007942,34.0,J2144-75,10.99221783408451,1.4121966175816203,0.10768363735398599,0.06614812955876971
19,19,NGC 1543 ,63.17974,-57.73713000000001,0.003922,16.8,J0412-57,10.905618563451727,1.6497844041832168,-0.30423704818364455,0.061808096656581005
20,20,NGC1533,62.466,-56.118444,0.002635,11.3,J0409-56,10.292636886966841,1.3221500166459947,-0.8214509666756842,0.050906139251911266
21,21,NGC289,13.1765,-31.205833,0.005433,23.3,J0052-31,10.628231842052037,1.3658916803439836,0.2885923050449432,0.06995683242627648
22,22,NGC1300,49.921167,-19.411361,0.005255,22.5,J0319-19,10.778845036222728,1.38519216796733,0.356980646911637,0.07160687641379677
23,23,NGC1365,53.401548,-36.140402,0.005458,23.4,J0333-36,10.704071714820289,1.3947901219987209,1.0930961418703402,0.0900185248872234
24,24,NGC1808,76.926417,-37.513056,0.003328,14.3,J0507-37,10.428292074930125,1.3454285685110128,0.7474586301458002,0.08111167595359291
25,25,NGC7531,348.702083,-43.599944,0.005324000000000001,22.8,J2314-43,10.50382969400091,1.34941050076833,-0.07616529184570478,0.06249094151143159
26,26,NGC 1433 ,55.50499,-47.22149,0.003586,15.4,J0342-47,10.748841441672928,1.3809207286960863,0.10365498191178774,0.06572905456943841
27,27,NGC6300,259.247792,-62.820556,0.0037,15.8,J1716-62,10.417554173908847,1.3431417240454084,0.42575949548338327,0.07308053777743549
28,28,NGC922,36.268417,-24.788167,0.010282,44.0,J0224-24,10.192905352972383,1.3646265343503898,0.48905963647828066,0.074628622176899
